iteration,operator,move,temperature,accepted,candidate_objective,current_objective,best_objective,candidate_spots,best_spots,candidate_days,candidate_over_budget_days,candidate_time_window_violations,candidate_limited_lodging_nights
235,worst_removal,reorder,1565.1517,False,240768.13,257430.405,258470.175,29,32,29,4,0,2
236,worst_removal,swap,1555.7608,False,-256733.208,257430.405,258470.175,28,32,34,5,0,0
237,long_arc_removal,none,1546.4262,False,246063.407,257430.405,258470.175,30,32,29,1,0,0
238,long_arc_removal,swap,1537.1477,False,11274.464,257430.405,258470.175,32,32,32,5,0,0
239,lodging_pressure_removal,two_opt,1527.9248,False,3175.403,257430.405,258470.175,32,32,32,7,0,1
240,lodging_pressure_removal,none,1518.7572,True,257430.405,257430.405,258470.175,32,32,30,3,0,0
241,long_arc_removal,two_opt,1509.6447,False,97515.959,257430.405,258470.175,27,32,31,2,0,1
242,long_arc_removal,none,1500.5868,False,252398.544,257430.405,258470.175,31,32,30,2,0,0
243,region_removal,reorder,1491.5833,False,104364.223,257430.405,258470.175,32,32,31,6,0,3
244,random_removal,swap,1482.6338,False,248864.881,257430.405,258470.175,30,32,30,5,0,0
245,lodging_pressure_removal,none,1473.738,True,257430.405,257430.405,258470.175,32,32,30,3,0,0
246,worst_removal,reorder,1464.8956,False,240463.223,257430.405,258470.175,29,32,29,4,0,2
247,random_removal,reorder,1456.1062,False,250128.932,257430.405,258470.175,32,32,29,6,0,2
248,long_arc_removal,swap,1447.3695,False,8616.936,257430.405,258470.175,32,32,32,5,0,1
249,long_arc_removal,swap,1438.6853,False,-132130.164,257430.405,258470.175,29,32,33,4,0,1
250,worst_removal,swap,1430.0532,False,-377280.987,257430.405,258470.175,29,32,35,5,0,0
251,worst_removal,none,1421.4729,False,250134.832,257430.405,258470.175,30,32,30,2,0,0
252,lodging_pressure_removal,none,1412.9441,True,257430.405,257430.405,258470.175,32,32,30,3,0,0
253,region_removal,two_opt,1404.4664,False,241570.467,257430.405,258470.175,30,32,30,6,0,2
254,region_removal,reorder,1396.0396,False,104364.223,257430.405,258470.175,32,32,31,6,0,3
255,long_arc_removal,none,1387.6634,False,223808.5,257430.405,258470.175,27,32,28,0,0,1
256,random_removal,reorder,1379.3374,False,245612.584,257430.405,258470.175,30,32,28,5,0,2
257,lodging_pressure_removal,reorder,1371.0614,False,104364.223,257430.405,258470.175,32,32,31,6,0,3
258,random_removal,reorder,1362.835,False,104364.223,257430.405,258470.175,32,32,31,6,0,3
259,random_removal,swap,1354.658,False,8097.065,257430.405,258470.175,32,32,32,5,0,1
260,random_removal,two_opt,1346.53,False,-9475.58,257430.405,258470.175,30,32,32,6,0,1
261,worst_removal,reorder,1338.4508,False,236911.215,257430.405,258470.175,28,32,27,4,0,2
262,region_removal,reorder,1330.4201,False,104892.373,257430.405,258470.175,32,32,31,6,0,3
263,lodging_pressure_removal,reorder,1322.4376,False,104364.223,257430.405,258470.175,32,32,31,6,0,3
264,random_removal,two_opt,1314.503,False,-122993.863,257430.405,258470.175,32,32,33,6,0,0
265,worst_removal,reorder,1306.616,False,240164.402,257430.405,258470.175,29,32,28,4,0,2
266,lodging_pressure_removal,swap,1298.7763,False,-243220.767,257430.405,258470.175,32,32,34,7,0,0
267,lodging_pressure_removal,two_opt,1290.9836,False,-123373.757,257430.405,258470.175,32,32,33,6,0,0
268,long_arc_removal,none,1283.2377,False,238852.919,257430.405,258470.175,29,32,30,1,0,0
269,random_removal,two_opt,1275.5383,False,-235080.903,257430.405,258470.175,32,32,34,6,0,0
270,worst_removal,swap,1267.8851,False,-12308.885,258470.175,258470.175,29,32,32,5,0,0
271,long_arc_removal,two_opt,1260.2778,False,8585.327,258470.175,258470.175,32,32,32,5,0,1
272,long_arc_removal,two_opt,1252.7161,False,254958.359,258470.175,258470.175,32,32,30,3,0,0
273,worst_removal,reorder,1245.1998,False,243058.941,258470.175,258470.175,29,32,28,4,0,1
274,lodging_pressure_removal,swap,1237.7286,False,-239424.788,258470.175,258470.175,32,32,34,6,0,0
275,worst_removal,none,1230.3022,False,247972.332,258470.175,258470.175,29,32,30,1,0,0
276,long_arc_removal,swap,1222.9204,False,-245494.861,258470.175,258470.175,32,32,34,6,0,0
277,region_removal,swap,1215.5829,False,-125987.615,258470.175,258470.175,31,32,33,6,0,0
278,random_removal,two_opt,1208.2894,False,122577.171,258470.175,258470.175,30,32,31,2,0,1
279,lodging_pressure_removal,two_opt,1201.0397,False,-117208.856,258470.175,258470.175,32,32,33,7,0,1
280,lodging_pressure_removal,two_opt,1193.8334,False,6765.589,258470.175,258470.175,32,32,32,6,0,0
